▶ 검색조건 [ 조회기간: 2019-01-01~2020-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
2557,2019 중앙영화제 GLARE 섹션,,1128000,0,1128000,188,188,1,2,한국,한국,,,,기타,,
2557,가을 햇살,,1318000,0,5546000,188,855,1,14,일본,일본,,,,드라마,오즈 야스지로,"하라 세츠코,쿠와노 미유키"
2557,와와의 학교 가는 날,2016-10-27,1128000,0,72179800,188,13694,1,1,중국,중국,,(주)마노엔터테인먼트,전체관람가,드라마,펑천,"딩지아리,아나무랑,차오시웬"
2562,SIFF2019-선택단편1,,1308500,0,1308500,187,187,1,3,한국,한국,,,,기타,,
2562,겨울 이야기,,1390000,0,7433000,187,1119,1,4,프랑스,프랑스,,(주)영화사 안다미로,15세이상관람가,드라마,에릭 로메르,"샬롯 베리,프레데릭 반 덴 드리슈"
2562,남태평양 목선작전,,374000,0,374000,187,187,1,9,미국,미국,,,,"코미디,드라마,전쟁",리차드 머피,잭 레먼
2562,대결,1971-01-20,894000,0,3456000,187,606,1,5,프랑스,"프랑스,이탈리아",,,,드라마,장 피에르 멜빌,"알랑 드롱,부르빌,지안 마리아 볼론테"
2562,도도녀 길들이기,2020-01-10,988000,0,988000,187,187,20,21,한국,한국,영드래곤 미디어,영드래곤 미디어,청소년관람불가,"멜로/로맨스,코미디",신성진,
2562,바다의 사자들,1976-08-19,374000,0,374000,187,187,1,8,한국,한국,(주)동아수출공사,,전체관람가,"드라마,멜로/로맨스",이재웅,"김경수,채령"
2562,봄 이야기,,1373000,0,6478000,187,941,1,4,프랑스,프랑스,,(주)영화사 안다미로,12세이상관람가,"코미디,드라마",에릭 로메르,"앤 테이세드레,위그 케스테"
2562,서유기 월광보합,1995-09-16,2797500,0,14665500,187,1741,1,2,홍콩,홍콩,,,중학생이상관람가,코미디,유진위,"주성치,오맹달,막문위"
2562,제인을 찾으세요,,1288300,0,1288300,187,187,1,2,미국,미국,,,,드라마,,
2562,집의 시간들,2018-10-25,1575000,0,25711450,187,3083,1,21,한국,한국,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,라야,"김기수,이인규"
2562,처제의 일기,2019-09-26,988000,0,988000,187,187,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
2573,막내 이모,2019-07-18,982000,0,982000,186,186,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
2573,아듀 라미,,377000,0,477000,186,236,1,19,프랑스,프랑스,,,,"액션,어드벤처",장 허만,"알랑 드롱,찰스 브론슨,베르나르 프레송"
2573,옆집 아가씨,2019-03-15,972000,0,972000,186,186,20,20,한국,한국,영드래곤 미디어,(주)담화,청소년관람불가,멜로/로맨스,신성진,"안소희,이수,도모세"
2576,몽파르나스의 연인,,888000,0,1206000,185,249,1,3,프랑스,"프랑스,이탈리아",,,,드라마,자크 베케르,"제라드 필립,릴리 팔머"
2576,살인에 관한 짧은 필름,1997-07-05,1611000,0,3798000,185,461,2,18,폴란드,폴란드,"제스폴 필모이 ""토르""",(주)영화사 안다미로,연소자관람불가,"범죄,드라마",크지슈토프 키에슬로프스키,"미로슬로브 바카,크지슈토프 글로비쉬"
2576,아름다운 결혼,,1338000,0,4324000,185,675,1,10,프랑스,프랑스,,,,드라마,에릭 로메르,
2576,허클베리 핀의 모험,,373000,0,1005000,185,511,1,6,미국,미국,,,,"어드벤처,가족",마이클 커티즈,에디 호지스
2580,12 하고 24,,1298000,0,1543000,184,219,1,20,한국,한국,,,,다큐멘터리,김남석,
2580,딸의 애인 3,2019-12-05,979000,0,979000,184,184,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
2580,보도드라이버: 풀코스,2019-06-14,1110000,0,1110000,184,184,20,21,한국,한국,두리컴,(주)노바이앤티,청소년관람불가,성인물(에로),김덕,
2580,시월드,2019-06-21,918000,0,918000,184,184,20,20,한국,한국,(주)메이크아트,(주)메이크아트,청소년관람불가,멜로/로맨스,한우리,
2580,페널티킥 앞에 선 골키퍼의 불안,,1223000,0,2635000,184,387,1,8,서독,"서독,오스트리아",,,,드라마,빔 벤더스,"아더 브라우스,카이 피셔"
2585,검은 사제들,2015-11-05,2012000,0,42412952592,183,5443232,1,1,한국,한국,영화사 집,(주)씨제이이엔엠,15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅"
2585,스크루드라이버,,183000,0,183000,183,183,2,4,팔레스타인,"팔레스타인,카타르",,,,기타,,
2585,아가씨,2016-06-01,1359000,0,35221312991,183,4289008,2,11,한국,한국,"유한회사 아가씨에프에스,모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
2585,영 앳 하트,,366000,0,9439000,183,4488,1,8,미국,미국,,,,"드라마,뮤지컬,멜로/로맨스",고든 더글라스,"도리스 데이,프랭크 시내트라"
2585,우드스탁: 사랑과 평화의 3일,,1279000,0,1279000,183,183,1,3,미국,미국,,,,기타,마이클 와들리프,
2585,클라우즈 오브 실스마리아,2014-12-18,1142000,0,265630599,183,33351,1,6,프랑스,"프랑스,스위스,독일",,(주)나이너스엔터테인먼트,15세이상관람가,드라마,올리비에 아사야스,"줄리엣 비노쉬,크리스틴 스튜어트,클로이 모레츠"
2591,SIDOF2019_아빠가 죽으면 나는 어떡하지?/모래,,1278300,0,1278300,182,182,1,2,한국,한국,,,,다큐멘터리,,
2591,나의 노래: 메아리,,1265300,0,1265300,182,182,1,3,한국,한국,,,,다큐멘터리,정일건,
2591,메트로폴리스,,1317000,0,1365000,182,192,1,2,독일,독일,,,,"SF,어드벤처",프리츠 랑,알프레드 아벨
2591,시실리안,,1038000,0,1646000,182,305,1,5,프랑스,"프랑스,미국",,,,"드라마,범죄",앙리 베르누이,"장 가뱅,알랑 드롱"
2591,어메이징 레오나르도,,1638000,0,1638000,182,182,1,1,이탈리아,이탈리아,,,,다큐멘터리,,
2591,우주전쟁,,364000,0,364000,182,182,1,6,미국,미국,,,,"SF,스릴러,드라마",바이런 해스킨,"진 배리,앤 로빈슨"
2591,제3회 애니메이션 어워즈,,1456000,0,1456000,182,182,1,2,기타,기타,,,,애니메이션,,
2591,허슬러,,364000,0,8618000,182,4198,1,16,,,,,,,,
2599,FIWOM 2019 빛나는 인생+도나의 사랑,,1267000,0,1267000,181,181,1,2,기타,기타,,,,다큐멘터리,,
2599,걸작,2019-07-01,427000,0,427000,181,181,1,167,한국,한국,주식회사 씨엠닉스,주식회사 씨엠닉스,12세이상관람가,코미디,최진욱,"최진욱,주남정,김명건,이주예,강재철,하명진,전상진,채연희,최근모,민승준,유혁상,박병재,최지연,이동수,이호연,김찬욱,최근모,박상준"
2599,금지된 장난,1992-09-26,362000,0,6490000,181,2791,1,31,프랑스,프랑스,,,중학생이상관람가,"드라마,전쟁",르네 클레망,"조르주 푸줄리,브리지트 포세이"
2599,내 여자의 남자들,2019-09-27,970000,0,970000,181,181,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,백세리
2599,파리의 랑데부,,1358000,0,3789000,181,549,1,2,프랑스,프랑스,,,,기타,에릭 로메르,
2604,라라미에서 온 사나이,,360000,0,5856000,180,3073,1,13,미국,미국,콜럼비아 픽쳐스 코포레이션,,,"액션,서부극(웨스턴),미스터리",안소니 만,"제임스 스튜어트,아서 케네디,도날드 크리스프,캐시 오도넬,알렉스 니콜,알린 맥마흔,월러스 포드,잭 엘램"
2604,막내 형수,2019-06-06,955000,0,955000,180,180,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
2604,미치광이 피에로,,1051000,0,6257000,180,882,1,8,프랑스,"프랑스,이탈리아",,,,드라마,장 뤽 고다르,"장 폴 벨몽도,안나 카리나"
2604,아내업고 달리기,2016-11-10,360000,0,5165500,180,809,1,8,인도,인도,,주식회사 씨엠닉스,15세이상관람가,"코미디,멜로/로맨스",샤랏 카타리야,"아유쉬만 커라나,부미 페드네카르"
2604,아쿠아렐라,,1119000,0,1119000,180,180,1,2,영국,"영국,독일,덴마크,미국",,,,다큐멘터리,빅토르 코사코프스키,
2604,어린고모,2019-05-15,955000,0,955000,180,180,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,
2610,딸의 애인 2,2019-01-30,958000,0,958000,179,179,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
2610,엽문2,2010-06-16,1063500,0,445260500,179,59107,3,23,홍콩,홍콩,만다린 필름즈 디스트리뷰션,"(주)제이앤씨미디어그룹,(주)프라임엔터테인먼트",15세이상관람가,"액션,드라마",엽위신,"견자단,황효명,홍금보,두우항,슝다이린"
2612,막내 형수 2,2019-11-28,961000,0,961000,178,178,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
2612,음란한 모녀의 정사,2019-12-02,959000,0,959000,178,178,20,20,한국,한국,(주)담화,(주)담화,청소년관람불가,멜로/로맨스,정야광,
2612,첫경험 2,2019-08-08,961000,0,961000,178,178,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
2612,파리의 아메리카인,,483000,0,6930000,178,3194,1,14,미국,미국,,,,"드라마,뮤지컬,멜로/로맨스",빈센트 미넬리,
2612,하루의 달콤한 끝,,1060300,0,1060300,178,178,1,2,폴란드,폴란드,,,,드라마,,
2612,해피엔드,1999-12-11,1475000,0,3633000,178,438,1,6,한국,한국,(주)명필름,,18세관람가,"멜로/로맨스,스릴러",정지우,"최민식,전도연,주진모,김병춘,주현,손진호,박성일,박지일,김병춘"
2618,개구장이 도련님,,354000,0,656000,177,328,1,18,한국,한국,남화흥업(주),(주)프리즘웍스,12세이상관람가,"드라마,코미디",박문수,남정임
2618,목로주점,,373000,0,7667000,177,3729,1,7,프랑스,프랑스,,,,드라마,르네 클레망,"마리아 쉘,프랑스와 페리어"
2618,번개맨의 비밀,2018-12-06,996000,0,395122050,177,51040,1,3,한국,한국,"힘컨텐츠(주),한국교육방송공사 EBS",(주)디스테이션,전체관람가,"가족,뮤지컬",강유선,"서홍석,유수호,최오식,이상철,김수미,김성웅,이상철,이수현"
2618,어린 누나 3,2019-05-02,948000,0,948000,177,177,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2622,강남 며느리,2019-10-11,955000,0,955000,176,176,20,20,한국,한국,영드래곤 미디어,영드래곤 미디어,청소년관람불가,"멜로/로맨스,드라마",이상수,
2622,괴물,2006-07-27,1581000,0,66717700300,176,10917400,1,2,한국,한국,영화사청어람(주),(주)쇼박스,12세관람가,"SF,가족,드라마",봉준호,"송강호,변희봉,박해일,배두나,고아성,오달수,박노식,라미란,고수희,윤제문,김뢰하,고창석,박진우,김학선,신현종,신승리,조덕제,조진영,김창렬,김병훈,이재응,이훈진,정강희,김대근,김효선,김종준,김다영,이왕우,유승목,손진호,권병길,손영순,정인기,최교식,이종윤,김비비,조영규"
2622,딸의 친구 3,2019-03-21,952000,0,952000,176,176,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2622,명탐정 필립,,1103000,0,3078000,176,1014,1,8,미국,미국,,,,"범죄,미스터리",하워드 혹스,"험프리 보가트,로렌 바콜"
2622,새드 베케이션,2008-03-13,1215000,0,29337000,176,4263,1,2,일본,일본,,(주)스폰지이엔티,15세이상관람가,드라마,아오야마 신지,"아사노 타다노부,이시다 에리,오다기리 조"
2622,어린 엄마 3,2019-05-30,947000,0,947000,176,176,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2622,철도원,2000-02-04,1130000,0,9765000,176,1981,1,7,일본,일본,,,전체관람가,"가족,드라마",후루하타 야스오,"다카쿠라 켄,히로스에 료코"
2622,황색 하늘,,352000,0,352000,176,176,1,8,미국,미국,,,,서부극(웨스턴),윌리엄 A. 웰만,"그레고리 펙,앤 박스터"
2630,007 제2편 : 위기일발,1973-09-21,350000,0,15113000,175,7448,1,8,영국,영국,이온 프로덕션,,,"액션,어드벤처",테렌스 영,숀 코네리
2630,가족여행,,1047500,0,1047500,175,175,1,2,홍콩,"홍콩,대만,싱가포르,말레이시아",,,,드라마,,
2630,관전남,2019-07-25,951000,0,951000,175,175,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
2630,"먼 목소리, 계속되는 삶",,1254000,0,2360000,175,381,1,2,영국,영국,,,,드라마,테렌스 데이비스,
2630,반고호,1992-10-03,961000,0,5201000,175,902,1,6,프랑스,프랑스,고몽,,고등학생이상관람가,드라마,모리스 피알라,"알렉산드라 런던,자크 뒤트롱"
2630,아무도 머물지 않았다,2013-12-26,875000,0,118978500,175,15928,1,5,프랑스,"프랑스,이탈리아",,(주)씨에이씨엔터테인먼트,15세이상관람가,"드라마,미스터리",아쉬가르 파라디,"베레니스 베조,타하르 라힘,알리 모사파"
2630,어둠은 걷히고,,1172000,0,2508000,175,379,1,3,핀란드,핀란드,,,,"드라마,코미디",아키 카우리스마키,"카티 오우티넨,까리 베나넨"
2637,기색충,2020-09-10,940000,0,940000,174,174,25,25,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2637,동급생,2016-05-19,1539800,0,287277800,174,39471,6,28,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마",나카무라 쇼코,"카미야 히로시,노지마 켄지,이시카와 히데오"
2637,마작,,1289000,0,1289000,174,174,1,2,,,,,,,,
2637,모아쓴일기,,1137000,0,1137000,174,174,1,7,한국,한국,,,,"다큐멘터리,드라마",장경환,차해수
2637,섹스의 세계,2020-09-17,940000,0,940000,174,174,25,25,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2637,여배우: 섹스수업,2019-04-05,948000,0,948000,174,174,20,20,한국,한국,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,노승택,"조완진,이채담"
2637,연미복을 입은 여자,,174000,0,174000,174,174,2,11,스웨덴,스웨덴,,,,기타,,
2637,오션스 일레븐,,348000,0,4663000,174,2056,1,19,미국,미국,,,,"범죄,코미디",루이스 마일스톤,"프랭크 시내트라,딘 마틴,새미 데이비스 주니어,피터 로포드,앤지 디킨슨"
2637,최선의 삶,2021-09-01,1224000,0,1224000,174,174,1,3,한국,한국,"(주)마일스톤컴퍼니,(주)모토",(주)엣나인필름,15세이상관람가,드라마,이우정,"방민아,심달기,한성민,이유경,양흥주,김민재,이민웅,박지성,전필재,김성용,이호원,이보경,장은정,김민재,백재호,홍혜은,황윤희,김하영,정은아,전예지,강솔희,양문정,장만민,이석형,권영찬,조준기,신황철,이미라,길도연,윤걸,이태민,장동규,한세하,김세인,윤진희,고영석,윤혜리,김효신,이진호,김연지,박장순,이홍래,김서현,김소라,이명로,배중재,김영애,정찬길,이승현,이가은,신선우,이희옥,김연준,김희진,심주원,서상우"
2637,황야는 통곡한다,1971-01-24,334000,0,750000,174,312,1,4,미국,미국,,,,서부극(웨스턴),루이기 바쪼니,"프랑코 네로,티나 오몬트"
2647,로그북,2021-11-24,1205000,0,1205000,173,173,1,9,한국,한국,복미디어,시네마 뉴원,전체관람가,다큐멘터리,복진오,"강유성,황병주,한재명,백인탁"
2647,어린 형수 4,2019-01-04,946000,0,946000,173,173,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
2647,형부를 탐하다,2019-04-10,951000,0,951000,173,173,20,22,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,
2650,DIMA방송보도제작과 영상제 'ON-AIR' 1부 Prologue,,860000,0,860000,172,172,1,1,한국,한국,,,,기타,,
2650,DIMA방송보도제작과 영상제 'ON-AIR' 2부 Epilogue,,860000,0,860000,172,172,1,1,한국,한국,,,,기타,,
2650,남편친구들,2019-05-08,938000,0,938000,172,172,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,이채담
2650,네티즌,,1204000,0,1204000,172,172,1,2,미국,미국,,,,다큐멘터리,,
2650,비탈리나 바렐라,,1244000,0,1244000,172,172,2,3,포르투갈,포르투갈,,,,드라마,페드로 코스타,
2650,예기치 못한 일,,361000,0,361000,172,172,1,9,영국,영국,,,,멜로/로맨스,안소니 애스퀴스,"엘리자베스 테일러,리차드 버튼,매기 스미스"
2650,"유기농 섹드립 로맨스 ""오목리 미스킴""",2019-04-11,944000,0,944000,172,172,20,20,한국,한국,(주)코빈커뮤니케이션즈,(주)코빈커뮤니케이션즈,청소년관람불가,,"김원기,윤민채",
2650,천사탈주,,344000,0,2212000,172,1106,1,15,미국,미국,,,,코미디,마이클 커티즈,"험프리 보가트,알도 레이"
2658,등산의 참맛,2019-01-15,942000,0,942000,171,171,20,20,한국,한국,(주)라온컴퍼니플러스,(주)라온컴퍼니플러스,청소년관람불가,"멜로/로맨스,드라마",한동호,
2658,무한정사,2020-01-02,940000,0,940000,171,171,20,20,한국,한국,오디씨네마,오디씨네마,청소년관람불가,성인물(에로),최재후,
2658,발기찬 처가살이,2019-02-12,942000,0,942000,171,171,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동호,
2658,스쿨 오브 락,2004-02-27,1676300,0,236358100,171,36262,2,19,영국,영국,,"윤스,UIP코리아","12세이상관람가,전체관람가",코미디,리차드 링클레이터,"잭 블랙,조앤 쿠삭,마이크 화이트,사라 실버맨"
2658,어린 엄마 2,2019-03-28,942000,0,942000,171,171,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
2658,음란 과외 3,2020-11-26,954000,0,954000,171,171,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2658,주말 오후6시의 연인,2020-01-16,943000,0,943000,171,171,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,왕지방,"민도윤,조완진"
2658,타잔과 친구들,,342000,0,5728000,171,2849,1,20,미국,미국,,,,"액션,어드벤처","세드릭 기븐스,잭 콘웨이","조니 웨이스뮬러,모린 오설리반"
2666,그녀의 모유는 백신,2020-08-21,937000,0,937000,170,170,20,20,한국,한국,(주)담화,(주)담화,청소년관람불가,성인물(에로),정미나,
2666,너 말고 니 언니,2019-04-17,871000,0,871000,170,170,20,20,한국,한국,노바엔터테인먼트,노바엔터테인먼트,청소년관람불가,멜로/로맨스,김종민,"조완진,아리,설영,지성"
2666,더 체인질링,,1172000,0,1172000,170,170,1,3,캐나다,캐나다,,,,기타,피터 메닥,
2666,독립시대,,1250000,0,1250000,170,170,1,2,,,,,,,,홍홍
2666,밤과 낮 사이,,340000,0,2614000,170,1302,1,6,이탈리아,"이탈리아,미국",,,,"액션,전쟁,드라마",누날리 존슨,"에바 가드너,더크 보가드"
2666,상류시대,2019-01-03,943000,0,943000,170,170,20,21,한국,한국,(주)라온컴퍼니플러스,(주)라온컴퍼니플러스,청소년관람불가,"멜로/로맨스,드라마",한동호,
2666,제 15회 성균관대학교 영상학과 졸업영상제 ROAD 5,,680000,0,680000,170,170,1,2,한국,한국,,,,기타,,
2666,제 15회 성균관대학교 영상학과 졸업영상제 ROAD 9,,680000,0,680000,170,170,1,2,한국,한국,,,,기타,,
2666,주인집 딸,2020-05-07,942000,0,942000,170,170,21,21,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2666,천박한 누나,2019-02-27,940000,0,940000,170,170,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동호,
2676,18 섹시퀸 유진의 섹스 스캔들,2020-11-13,968000,0,968000,169,169,20,20,한국,한국,라임필름,케이엘 픽쳐스,청소년관람불가,멜로/로맨스,최진철,
2676,관전TV,2019-11-01,933000,0,933000,169,169,20,20,한국,한국,밀크픽처스,밀크픽처스,청소년관람불가,스릴러,최재후,
2676,관전녀2,2020-11-06,955000,0,955000,169,169,20,20,한국,한국,컨텐츠레드,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2676,구멍동서,2020-07-20,961000,0,961000,169,169,20,20,한국,한국,영드래곤 미디어,영드래곤 미디어,청소년관람불가,기타,이상수,
2676,내방에 일본여자가 있다,2019-02-12,938000,0,938000,169,169,20,20,한국,한국,(주)엔트리미디어,(주)엔트리미디어,청소년관람불가,멜로/로맨스,노세기,"하마사키 마오,신연우,이수"
2676,누나의 맛,2019-06-19,933000,0,933000,169,169,20,20,한국,한국,(주)담화,(주)담화,청소년관람불가,기타,미스터빽,
2676,누나의 일기,2020-02-20,938000,0,938000,169,169,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
2676,대리 남편,2020-01-03,933000,0,933000,169,169,20,20,한국,한국,재밌는 그림,주식회사 제이씨엔터웍스,청소년관람불가,기타,박준석,
2676,딸의 일기,2020-02-13,938000,0,938000,169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2676,막내 처제,2019-11-14,934000,0,934000,169,169,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2676,막내 처제 2,2020-03-12,933000,0,933000,169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
2676,몽정 : 파는여자,2020-04-09,936000,0,936000,169,169,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,"멜로/로맨스,스릴러,드라마",왕지방,"안소희,조완진,민도윤,이수"
2676,불륜의 세계,2020-07-10,965000,0,965000,169,169,20,20,한국,한국,영드래곤 미디어,영드래곤 미디어,청소년관람불가,기타,신성진,
2676,섹파어플,2019-12-13,933000,0,933000,169,169,20,20,한국,한국,(주)담화,(주)담화,청소년관람불가,멜로/로맨스,정양광,
2676,스튜디오,2019-02-27,938000,0,938000,169,169,20,20,한국,한국,RGB,RGB,청소년관람불가,코미디,조일준,"나영,김선구"
2676,식모-머피의 법칙,2019-11-20,916000,0,916000,169,169,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,노현진,민도윤
2676,아내와 내 친구들,2020-01-03,934000,0,934000,169,169,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,최재후,조완진
2676,애완남,2020-10-23,935000,0,935000,169,169,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2676,어린 관리사,2020-01-10,933000,0,933000,169,169,20,20,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,성인물(에로),최성은,
2676,어린 그녀,2020-04-09,943000,0,943000,169,169,20,20,한국,한국,컨텐츠레드,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정태준,
2676,어린 누나 4,2020-01-23,933000,0,933000,169,169,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
2676,어린 엄마4,2020-10-23,935000,0,935000,169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2676,어린 이모 3,2020-01-02,933000,0,933000,169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2676,어린 처제 3,2019-05-09,932000,0,932000,169,169,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
2676,어린 처제 4,2020-03-19,931000,0,931000,169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,설아
2676,어린 처형 3,2020-01-09,934000,0,934000,169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
2676,어린 형수 5,2019-10-17,934000,0,934000,169,169,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
2676,엄마의 일기,2020-01-30,933000,0,933000,169,169,20,20,한국,한국,컨텐츠레드,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
2676,여선생3,2020-03-20,933000,0,933000,169,169,20,20,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,기타,최성은,
2676,옆집소녀4,2020-07-03,940000,0,940000,169,169,19,20,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,원명준,
2676,용주골 2,2020-11-12,960000,0,960000,169,169,20,20,한국,한국,컨텐츠레드,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김종석,
2676,우리 도련님,2019-02-25,938000,0,938000,169,169,20,20,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,멜로/로맨스,김대성,
2676,음란한 병원,2019-04-17,938000,0,938000,169,169,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동호,
2676,의붓 여동생,2020-02-07,933000,0,933000,169,169,20,20,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,
2676,이모의유혹3,2020-05-29,946000,0,946000,169,169,20,20,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,원명준,
2676,인어전설,2018-11-15,382500,0,9080750,169,1282,1,73,한국,한국,주식회사 자파리필름,(주)미로스페이스,12세이상관람가,"코미디,드라마",오멸,"전혜빈,문희경,이경준,강래연,윤효진,이경준,이경진,이경호,이동규,이동현,이수연,이순옥,이승은,이승재,이은미,김정원,이은하,이정빈,김지민,성민정,성민철,이주영,이주영,이준혁,이지영,이혜원,김태준,김한결,김현동,김현민,김현수,김현정,김현지,오승범,김희진,김희진,김희철,오해성,유경,문창현,박상균,박선영,박영희,박유나,장지원,전용우,전유민,정서원,정성우,정수현,정연주,정영희,박주애,박주영,정재영,박지원,김혜영,강지수,고상근,고수빈,김경미,김나연,김나경,김건휘,김경숙,강민석,강민우,김도연,김동우,김동환,김민정,김민주,김민철,최희열,하성민,하성민,한영,허양자,김선미,김수진,김수현,김은옥,김영호,김예림,김수지,김수정,김성우,김성민,정인기,어성욱,박서연,이승민,조은"
